Charity Number,Charity Name,Registered Date,Known As,Charity Status,Notes,Postcode,Constitutional Form,Previous Constitutional Form 1,Geographical Spread,Main Operating Location,Purposes,Beneficiaries,Activities,Objectives,Principal Office/Trustees Address,Website,Most recent year income,Most recent year expenditure,Mailing cycle,Year End,Donations and legacies income,Charitable activities income,Other trading activities income,Investments income,Other income,Raising funds spending,Charitable activities spending,Other spending,Parent charity name,Parent charity number,Parent charity country of registration,Designated religious body,Regulatory Type,_invalid_reason
SC028538,Connect 2 Out of School Care Services,21/01/1999 00:00,,Active,,G31 4DN,Unincorporated association,,"Wider, but within one local authority area",Glasgow City,"'The prevention or relief of poverty','The advancement of education','The advancement of health','The advancement of citizenship or community development','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'",'Children / young people','It carries out activities or services itself',Promote the care and education of children in need of care during out of school hours and school holidays and to promote the provision of facilities for the recreation and other leisure time occupation of such children in the interest of social welfare with the object of improving their conditions of life; and (b) Advance the education and training of persons providing such care and education and recreational facilities .,"1343 Gallowgate, Parkhead, Glasgow",56 Downcraig Road,340090,311049,2020,31/03/2020,370,336803,0,0,2917,0,310124,925,,,,No,Standard,Invalid or no website
SC028575,Kirkcolm Under 5's,28/01/1999 00:00,Kirkcolm Under 5s Nursery,Active,,DG9 0NS,Unincorporated association,,"A specific local point, community or neighbourhood",Dumfries & Galloway,'The advancement of education','Children / young people','It carries out activities or services itself',"The aim of the playgroup is to promote the aim of the Scottish Pre-School Play Association which is to advance the education of pre-school children so that they may take a constructive place in the community, and also the education of their parents and other adults, children and teenagers","Kirkcolm Primary School, Kirkcolm, Stranraer",,53431,51594,2020,05/04/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC028594,Shetland Community Bike Project,05/02/1999 00:00,,Active,,ZE1 0LX,Unincorporated association,,"Wider, but within one local authority area",Shetland Islands,"'The advancement of education','The advancement of health','The advancement of environmental protection or improvement'","'People with disabilities or health problems','No specific group, or for the benefit of the community'",'It carries out activities or services itself',"A. the furtherance of the health of and the relief of involuntary unemployment among people within Shetland with mental health, drug or alcohol related problems (herinafter referred to as clients) by the provision of theraputic employment opportunities and training facilities and work experience thereby enhancing future employment prospects and B. to promote the health of the inhabitants of and visitors to Shetland by encouraging, promoting and facilitating the use of bicycles both as a recreational activity and an alternative method of transport.","16-18 Commercial Road, Lerwick, Shetland",,223984,168362,2021,31/03/2021,,,,,,,,,,,,No,Standard,Invalid or no website
SC028670,Ravelrig Riding For The Disabled,28/12/1998 00:00,,Active,,EH14 7NH,Company (the charity is registered with Companies House),,More than one local authority area in Scotland,City of Edinburgh,"'The advancement of health','The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'","'Children / young people','People with disabilities or health problems','People of a particular ethnic or racial origin','No specific group, or for the benefit of the community'",'It carries out activities or services itself',"3. The purpose for which the Company is established ('the Purpose'') is to promote the objects of the Riding for the Disabled Association incorporating carriage Driving, a charity registered in England & Wales under Charity Number 244108 ('RDA'') by providing disabled people with the opportunity to ride and/or to carriage drive to benefit their health and well being in the [insert geographical area] area. ","21 Ravelrig Gait, Balerno, Midlothian",,214710,82881,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC028797,Mauchline Burns Bairns Under 5's Group,23/06/1998 00:00,,Active,,KA5 5BT,Company (the charity is registered with Companies House),,"A specific local point, community or neighbourhood",East Ayrshire,"'The advancement of education','The advancement of health'",'Children / young people','It carries out activities or services itself',"(1) To advance the education of pre-school children through the provisionand supervision of learning-orientated activities with an emphasis on play experience. (2) To advance citizenship in respect of pre-school children and, in particular, to help and encourage pre-school children to grow and develop emotionally, intellectually and socially, such that they may participate fully in society. (3) To advance the education of parents and carers of pre-school children through the provision of advice and/or training in the skills associated with the care and supervision of pre-school children. (4) To promote, establish, operate and/or support other similar projects and initiatives which further charitable purposes, including activities which enable parents to take part in such activities with children, when appropriate.","36 Loudoun Street, Mauchline",,207546,135662,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC028814,Challenges Worldwide Limited,02/03/1999 00:00,,Active,,EH7 5JT,Company (the charity is registered with Companies House),,Overseas only,City of Edinburgh,"'The prevention or relief of poverty','The advancement of education','The advancement of health','The advancement of citizenship or community development','The advancement of the arts, heritage, culture or science','The advancement of human rights, conflict resolution or reconciliation','The advancement of environmental protection or improvement'","'No specific group, or for the benefit of the community','Other charities / voluntary bodies'",'It carries out activities or services itself',"To advance education and to assist in the relief of poverty in any part of the world and for those purposes only:-  (i) to send volunteers of either sex and without regard to race or creed to other countries to share their skills, knowledge and experience and to develop same and to develop their understanding thereof and to share their experience with others on their return  (ii) to bring volunteers to the United Kingdom to share their skills knowledge and experience and to develop same and to develop their understanding thereof and to share their experience with others on their return to their countries of origin  (iii) to undertake or assist in works and projects of all kinds  (iv) to educate the public concerning the nature, causes and effects of poverty and limited education in other countries, and to conduct, promote and encourage research into these matters and to publish or otherwise make available the results of such research or findings to the public  (v) to establish and carry on courses and conferences for the education of men and women and to provide for the delivery and holding of lectures, demonstrations and other forms of tuition, exhibitions, public meetings, classes and conferences and to employ teachers, lecturers and other staff as may be required for such purposes as aforesaid and to provide all such appliances and things and all such provisions and necessaries as may be required for the purposes aforesaid or any of them  (vi) To conduct appeals for money or other gifts or for any other assistance for any of the purposes of the company and to solicit and accept subscriptions and donations (whether of heritable or moveable property) legacies, endowments or other payments for any of the purposes of the company","CHALLENGES WORLDWIDE  , 7 Montgomery Street Lane, EDINBURGH",7,806768,887026,2020,31/03/2020,25000,727563,54205,0,0,0,887026,0,,,,No,Standard,Invalid or no website
SC028817,East Ayrshire Citizens Advice Bureau,22/03/1999 00:00,,Active,,KA1 1LN,Company (the charity is registered with Companies House),,"Wider, but within one local authority area",East Ayrshire,"'The prevention or relief of poverty','The advancement of education','The advancement of health'","'Children / young people','Older people','People with disabilities or health problems','No specific group, or for the benefit of the community'",'It carries out activities or services itself',"To promote any charitable purposes for the public benefit in East Ayrshire. (‘the area of local benefit’) and elsewhere by: the advancement of education, the protection of health and the relief of poverty and sickness and distress. sickness and distress.","The Gateway Centre, 3 Foregate Square, Kilmarnock",,795611,763549,2020,31/03/2020,333057,461796,0,758,0,21248,737252,5049,,,,No,Standard,Invalid or no website
SC028859,Liberton After School Club,25/08/1998 00:00,,Active,,EH16 5UD,Company (the charity is registered with Companies House),,"Wider, but within one local authority area",City of Edinburgh,"'The prevention or relief of poverty','The advancement of education','The advancement of health','The advancement of public participation in sport','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'",'Children / young people','It carries out activities or services itself',(i) To promote the care and education of children in need of care during out of school hours and school holidays and promote the provision of facilities for the for the recreation and other leisure-time occupation of such children in the interest of social welfare with the object of improving their conditions of life.  (ii) To advance the education and training of persons providing such care and education and recreational facilities.,"Liberton Primary School, 229 Gilmerton Road, Edinburgh",,113779,121514,2021,31/01/2021,,,,,,,,,,,,No,Standard,Invalid or no website
SC028909,Rosemount Lifelong Learning,22/10/1998 00:00,,Active,,G21 2NU,Company (the charity is registered with Companies House),,"Wider, but within one local authority area",Glasgow City,"'The advancement of education','The advancement of health','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'","'Children / young people','People with disabilities or health problems','No specific group, or for the benefit of the community'",'It carries out activities or services itself',"a. To promote the benefit of the inhabitants of the Royston Corridor and it's environs ('the Operating Area') without distinction of race, class, nationality, disability, sexuality, political, religious or other opinions and to provide facilities in the interests of social welfare for recreational and leisure time occupation with the objective of improving the conditions of life of the said inhabitants.  b. To advance education among the residents of the Operating Area, particularly among lone parents and the long term unemployed  c. To promote andlor provide training in skills of all kinds, particularly such skills as will assist residents of the Operating Area in obtaining paid employment  d. To promote, establish and operate other schemes of a charitable nature for the benefit of the community within the Operating Area","102 Royston Road, Royston, Glasgow",www.rosemount.ac.uk,1134680,1150123,2020,31/03/2020,249333,882535,0,664,2148,14356,1135767,0,,,,No,Standard,Invalid or no website
SC028919,Pathways Services Limited,08/03/1999 00:00,Pathways,Active,,AB24 3YX,Company (the charity is registered with Companies House),,"Wider, but within one local authority area",Aberdeen,"'The prevention or relief of poverty','The advancement of education'","'Children / young people','People with disabilities or health problems','No specific group, or for the benefit of the community'",'It carries out activities or services itself',(i) To relieve poverty among the residents of the areas of multiple deprivation within the city of Aberdeen	 (ii) To advance education within the said area particularly among young people and the unemployed ,"C/O Pathways, First Floor, Powis Community Centre, 11 Powis Circle, Aberdeen",25,400306,366167,2020,31/03/2020,334803,65503,0,0,0,0,296923,69244,,,,No,Standard,Invalid or no website
SC028943,Oscars Playscheme,21/04/1999 00:00,,Active,,ML6 9by,Unincorporated association,,"Wider, but within one local authority area",North Lanarkshire,"'The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended'",'Children / young people','It carries out activities or services itself',"The aims of the childcare provision shall be: A) To promote the care and education of the children in need of care after school and during school holidays and to promote the provision of facilities for the recreation and the other leisure time of such children in the interests of social w e h with the objects of improving their conditions of life. B) To advance the education and training of the persons providing such care, educatian and recreational facilities.","Pilgrim Community Church, 1 Victoria Place, Airdrie",,51104,62997,2019,31/12/2019,,,,,,,,,,,,No,Standard,Invalid or no website
SC028948,Equals Advocacy Partnership Mental Health / Dementia North Lanarkshire,13/04/1999 00:00,,Not Submitted,This charity intends to wind up and transfer its assets and liabilities to Equals Advocacy Ltd SC050005 which is a Company,ML1 1PN,Unincorporated association,,"Wider, but within one local authority area",North Lanarkshire,"'The advancement of human rights, conflict resolution or reconciliation'",'People with disabilities or health problems','It carries out activities or services itself',"To relieve the suffering and distress and to generally promote the welfare and protect the health of people with mental health/dementia issues, in North Lanarkshire.","Offices 1.4 & 1.9, The Dalziel Building, 7 Scott Street, Motherwell",,258364,246019,2019,31/03/2019,255364,0,0,0,3000,0,246019,0,,,,No,Standard,Invalid or no website
SC028952,Royal British Legion Scotland Grangemouth Branch,14/05/1999 00:00,,Active,,FK3 8BX,Unincorporated association,,"A specific local point, community or neighbourhood",Falkirk,"'The prevention or relief of poverty','The advancement of citizenship or community development','The advancement of the arts, heritage, culture or science','The advancement of public participation in sport','The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage','Any other purpose that may reasonably be regarded as analogous to any of the preceding purposes'","'Other defined groups','Other charities / voluntary bodies'","'It makes grants, donations or gifts to organisations','It carries out activities or services itself'","4. CHARITABLE PURPOSES AND PRINCIPLES 4.1 The charitable purposes of RBLS are: - 4.1.1 The prevention or relief of poverty amongst men or women who have at any time honourably served with any branch of the naval, military and air forces of the Crown (whether Regular or Reserve); Royal Observer Corps and members of HM Coastguard; the Merchant Navy; the Forces of Allied Nations; the Women’s Land Army; the Women’s Timber Corps; Bevin Boys, members of the War Widows Association or Adult Cadet Instructors and their spouses, partners and dependants, hereinafter referred to as “ex-Service men and women”; 4.1.2 The advancement of citizenship and community development by the encouragement of co-operation between ex-Service men and women and others supporting the objects of RBLS through the establishment of Branches, by promoting and encouraging volunteering and the principle of service to others and by perpetuating and honouring the memory of those who died in the service of their country through the education of the public and through acts of remembrance; 4.1.3 The relief of ex-Service men and women in need by reason of age, ill-health, disability, financial hardship or other disadvantage; 4.1.4 The advancement of the arts, heritage, culture or science by the promotion of music, including the music of pipe bands and military bands and the encouragement of participation in music by young people; by preserving war memorials and by promoting and parading ceremonial colours as a tribute to those ex-Service men and women who have died in the service of their country and as a symbol of belief in our common culture; 4.1.5 The advancement of public participation in sport; 4.1.6 The provision of recreational facilities and the organisation of recreational activities with the object of improving the conditions of life for ex-service men and women in particular and for members of the public generally; and 4.1.7 Any other purposes that reasonably may be regarded as analogous to any of the preceding purposes.","4 Dundas Street, Grangemouth, Stirlingshire",,40420,21708,2020,31/10/2020,,,,,,,,,Royal British Legion Scotland,SC003323,Scotland,No,Standard,Invalid or no website
SC029027,The Arran Access Trust,14/05/1999 00:00,,Active,,KA27 8NB,Company (the charity is registered with Companies House),,"Wider, but within one local authority area",North Ayrshire,"'The advancement of education','The advancement of the arts, heritage, culture or science','The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended','The advancement of human rights, conflict resolution or reconciliation','The advancement of environmental protection or improvement'","'No specific group, or for the benefit of the community'",'It carries out activities or services itself',"To conserve and preserve for the benefit of the public the natural heritage and environment of the Islands of Arran, Holy Island and Pladda.","Arran Community & Voluntary Service, Park Terrace, Lamlash, Isle Of Arran",,40770,61430,2020,30/09/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC029061,Boyndie Trust Limited,20/04/1999 00:00,,Active,,AB45 2JT,Company (the charity is registered with Companies House),,"Wider, but within one local authority area",Aberdeenshire,"'The advancement of education','The advancement of health','The advancement of citizenship or community development','The advancement of environmental protection or improvement','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'",'People with disabilities or health problems','It carries out activities or services itself',"(a) To relieve the poverty and distress of persons who have learning difficulties, physical difficulties or mental health problems, by aiding them to advance into employment and in pursuing any other objects for the benefit of such persons which are now or hereafter deemed to be charitable in law.  (b) To educate the public, in the protection of the environment and the conservation of wildlife.","The Old School, Boyndie, Banff",,573403,454322,2020,31/03/2020,142808,430595,0,0,0,0,454322,0,,,,No,Standard,Invalid or no website
SC029076,Barra Children's Centre,04/06/1999 00:00,,Active,,HS9 5XD,Company (the charity is registered with Companies House),,"A specific local point, community or neighbourhood",Western Isles,"'The prevention or relief of poverty','The advancement of education','The advancement of citizenship or community development','The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended','The promotion of equality and diversity','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage','Any other purpose that may reasonably be regarded as analogous to any of the preceding purposes'","'Children / young people','No specific group, or for the benefit of the community'",'It carries out activities or services itself',"To advance the education of pre-school children by promoting, developing, providing and operating pre-school educational, facilities in a Community Nursery for pre-school aged children, their parents and carers living in or otherwise connected with the area of Barra and to advance the education of children under sixteen years of age by providing, or assisting in the provision of facilities for educational play for the said children connected with the said areas.","Childrens Centre Castlebay, Isle Of Barra, Western Isles",,59501,68744,2019,31/12/2019,,,,,,,,,,,,No,Standard,Invalid or no website
SC029079,1st Bridge of Weir Scout Group,23/06/1999 00:00,,Not Submitted,,PA11 3EP,Unincorporated association,,"A specific local point, community or neighbourhood",Renfrewshire,"'The advancement of education','The advancement of citizenship or community development'",'Children / young people','It carries out activities or services itself'," ‘Scouting exists to actively engage and support young people in their personal development, empowering them to make a positive contribution to society’ ","52 Ranfurly Road, Bridge Of Weir",,47297,40728,2019,31/03/2019,,,,,,,,,,,,No,Standard,Invalid or no website
SC029090,Glasgow The Caring City,09/06/1999 00:00,The Caring City Network,Active,,G44 5UW,Company (the charity is registered with Companies House),,UK and overseas,Glasgow City,"'The prevention or relief of poverty','The advancement of education','The advancement of health','The saving of lives','The advancement of citizenship or community development','The advancement of the arts, heritage, culture or science','The advancement of public participation in sport','The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended','The advancement of human rights, conflict resolution or reconciliation','The advancement of environmental protection or improvement','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'","'Children / young people','Older people','People with disabilities or health problems','People of a particular ethnic or racial origin','No specific group, or for the benefit of the community','Other charities / voluntary bodies'","'It makes grants, donations, loans, gifts or pensions to individuals','It makes grants, donations or gifts to organisations','It carries out activities or services itself'","To respond in times of emergency anywhere in the world or in respect of national or international concern to relieve hardship, to save lives and in the longer-term to rebuild and renew communities sustainably; to advance citizenship and community development, in the West of Scotland and elsewhere, so as to prevent or relieve poverty, address hardship, promote religious and racial harmony and ensure equality and diversity; to promote Glasgow and Scotland, at a local and global level, positively as a multicultural and balanced society; and to educate the public generally about and promote all of these Charitable Purposes.","119 Carmunnock Road, Glasgow",,110348,65851,2020,30/06/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC029107,Wise Women,14/06/1999 00:00,,Active,,G31 1JF,Company (the charity is registered with Companies House),,"Wider, but within one local authority area",Glasgow City,'Any other purpose that may reasonably be regarded as analogous to any of the preceding purposes','Other defined groups','It carries out activities or services itself',"To promote, maintain, improve and advance the education of women and children, particularly by the encouragement of their self-confidence, knowledge and skills.","120 Sydney Street, Glasgow",,118979,124795,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC029119,Greater Pollok Enterprise Trust,15/06/1999 00:00,,Active,,G53 7NN,Company (the charity is registered with Companies House),,"Wider, but within one local authority area",Glasgow City,"'The prevention or relief of poverty','The advancement of education','The advancement of citizenship or community development'","'Children / young people','No specific group, or for the benefit of the community'",'It carries out activities or services itself',"The company has been formed to benefit the community of Greater Pollok, which comprises the G53 and G46 postcode districts of Glasgow (“the Community”) with the following objects:  (1) The advancement of community development (including the advancement of urban regeneration and the promotion of the voluntary sector) within the Community and the relief of unemployment among the residents of the Community, and in particular (but without limitation) through (a) the provision of accommodation, and management, mentoring and other support, for businesses with the aim of securing employment and/or training opportunities for unemployed people who are residents of the Community (b) the provision of accommodation, and management, mentoring and other support, within the Community for social enterprises and (c) providing links to colleges, training providers, schools and other establishments who may assist with the development of skills which would enhance the pr (2) The relief of poverty among the residents of the Community, and in particular (but without limitation) through providing childcare facilities (for children of pre-school age and, in the form of out-of-school care, for children of school age) which enable the parents or guardians of such children who would otherwise have difficulty in meeting childcare costs to access and/or maintain themselves in paid employment; and (3) To advance education, in particular among pre-school children and (in the form of out-of-school educational activities) among children of school age. But only to the extent that the above purposes are consistent with furthering the achievement of sustainable development. For the purposes of paragraph 4(1)(b), an organisation shall only be treated as a social enterprise if (i) it has an asset lock, whether by way of provision in its constitution or by way of a statutory asset lock, and is non-profit distributing, or (ii) it is a wholly-owned subsidiary of a body which has such an asset lock.” ","Unit 13, Museum Business Park, 140 Woodhead Road, Glasgow",,445606,446812,2020,31/05/2020,0,304673,73120,0,67813,0,376655,70157,,,,No,Standard,Invalid or no website
SC029139,Caldercruix Youth And Community Development Project,21/06/1999 00:00,,Not Submitted,,ML6 7QS,Unincorporated association,,"A specific local point, community or neighbourhood",North Lanarkshire,"'The prevention or relief of poverty','The advancement of education','The advancement of health','The advancement of citizenship or community development','The advancement of the arts, heritage, culture or science','The advancement of public participation in sport','The advancement of environmental protection or improvement'","'Children / young people','Older people','No specific group, or for the benefit of the community','Other charities / voluntary bodies'",'It carries out activities or services itself',"The objects for which the project is established are: A To work towards advancing educational and social opportunities in the Caldercruix area through partnership working with relevant providers. B To promote, establish and operate schemes of a charitable nature for the benefit of the community within Caldercruix. C To encourage social interaction of various age groups by creating the means for building relationships via groups, programmes, forums and specialized projects. D To identify and secure funding to enable these objects. E To create and maintain public amenities for the benefit of the local community. F To promote environmental awareness and develop such projects as a community garden and other related initiatives. G To encourage local people to participate in volunteering opportunities for the benefit of the community.","16 Lorraine Road, Caldercruix, Airdrie, North Lanarkshire",,68787,66856,2015,31/03/2015,,,,,,,,,,,,No,Standard,Invalid or no website
SC029144,Munlochy Animal Aid (MAA),30/06/1999 00:00,Munlochy Animal Aid,Active,,IV1 3ZD,Unincorporated association,,More than one local authority area in Scotland,Highland,"'The promotion of equality and diversity','The advancement of animal welfare'","'No specific group, or for the benefit of the community'",'It carries out activities or services itself',"To provide rescue and treatment services, accommodation and re-homing for every type and breed of animal and bird, and to promote humane care by all sections of the public.","Willow Cottage, Artafallie, North Kessock, Highlands",,300383,164337,2020,30/06/2020,249565,33247,0,0,17571,1926,162411,0,,,,No,Standard,Invalid or no website
SC029148,Bright Sparks Playgroup,08/10/1998 00:00,,Active,,EH19 2AD,Unincorporated association,,"Wider, but within one local authority area",Midlothian,"'The advancement of education','The advancement of health','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'","'Children / young people','People with disabilities or health problems'",'It carries out activities or services itself',"To promote the aims of the Scottish Pre-School Play Association. These are to advance the education of pre-school children, with the Group's emphasis on play experience for children with additional support needs, so that they may take a constructive place in the community and also to advance the education of parents and other appropriate persons.","King George V Park, Bonnyrigg, Midlothian",,161603,102633,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC029162,Cliff House Care Limited,01/06/1999 00:00,,Not Submitted,,AB31 6NL,Company (the charity is registered with Companies House),,"A specific local point, community or neighbourhood",Aberdeen,"'The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'","'Older people','People with disabilities or health problems'","'It makes grants, donations or gifts to organisations','It carries out activities or services itself'","To promote the benefit of inhabitants of Aberdeen and the North East of Scotland in general ('the Area') and in particular the elderly, disabled, mentally ill and/or infirm inhabitants of the area by establishing, providing and managing Hospital or Nursing Homes or Mental Nursing Homes and providing medical, administrative or other services for the foregoing and without prejudice to the foregoing to own property at Polmuir Road, Aberdeen and to lease same on terms agreed from time to time to with Grampian Healthcare Trust and their successors or nominees from time to time all in the furtherance of health, the relief of poverty, sickness or distress and/or the advancement of care in the community within the area.","Burnhaven, , Belts of Collonach,, Strachan, Banchory",,51621,4781,2019,31/05/2019,,,,,,,,,,,,No,Standard,Invalid or no website
SC029163,Universities Scotland,07/07/1999 00:00,,Active,,EH8 8AS,Unincorporated association,,Operations cover all or most of Scotland,City of Edinburgh,'The advancement of education','Children / young people','It carries out activities or services itself',"The advancement of higher education in Scotland by influencing the policy, legislative and financial environment to promote and encourage higher education and thereby promoting the Universities sector contribution to Scotland’s economic, social and cultural wellbeing.","Holyrood Park House, 106 Holyrood Road, Edinburgh",www.universities-scotland.ac.uk,1153913,1123409,2020,31/07/2020,0,1066939,86974,0,0,59058,1064351,0,,,,No,Standard,Invalid or no website
SC029188,James Tyrrell Centre,20/05/1999 00:00,,Active,,AB16 6TR,Unincorporated association,,"A specific local point, community or neighbourhood",Aberdeen,"'The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'","'Older people','People with disabilities or health problems'",'It carries out activities or services itself',"To promote the benefit of the older inhabitants of Mastrick and its environs without distinction of gender, political, religious or other opinions by associating the local statutory authorities, voluntaty organisations and inhabitants in a common effort to advance education and to provide, or assist in the provision of, facilties in the interests of social welfare for recreation and leisure-time occupation so that their conditions of life may be improved.","Mastrick Parish Church, Greenfern Road, Aberdeen",,43584,44933,2020,31/12/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC029206,Hearing Voices Network Dundee,14/07/1999 00:00,Hearing Voices Network,Not Submitted,This charity is in the process of being wound up and will transfer all its assets and liabilities to  Hearing Voices Network Dundee SC047597. ,DD3 7AU,Unincorporated association,,"Wider, but within one local authority area",Dundee City,"'The advancement of health','The advancement of human rights, conflict resolution or reconciliation'",'People with disabilities or health problems','It carries out activities or services itself',To relieve the suffering and distress of persons suffering from 'hearing voices' due to any mental illness.,"The HaVeN, 216-220 Hilltown, Dundee",https://en-gb.facebook.com/haven.dundee/,53050,103409,2018,31/12/2018,,,,,,,,,,,,No,Standard,Invalid or no website
SC029237,Maxwelltown Playcare,20/07/1999 00:00,,Active,,DG2 0NF,Unincorporated association,,"Wider, but within one local authority area",Dumfries & Galloway,'The advancement of education','Children / young people','It carries out activities or services itself',"To promote the care and education of children from 0-12 years living in Lochside and surrounding area and to provide or assist in the provision of facilities, in the interest of social welfare, for recreation and other leisure time occupation, so that the conditions of life of the aforementioned children may be improved.","Maxwelltown Playcare, Lochside Road, Dumfries",,654385,385196,2020,31/03/2020,195299,459086,0,0,0,0,385196,0,,,,No,Standard,Invalid or no website
SC029273,South East Area Lifestyle Community Health Project,01/01/1992 00:00,SEAL Community Health Project,Active,,G5 0SE,Company (the charity is registered with Companies House),,"Wider, but within one local authority area",Glasgow City,"'The prevention or relief of poverty','The advancement of health','The advancement of citizenship or community development','The advancement of public participation in sport','The promotion of equality and diversity','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'","'Older people','People with disabilities or health problems','People of a particular ethnic or racial origin','No specific group, or for the benefit of the community'",'It carries out activities or services itself',"The company's object are: Reducing health inequalities in the operating area through a community development approach, strategic multi-agency work and by offering stress reducing therapies at community level.","South East Area Lifestyle Community, 405 CUMBERLAND STREET, Gorbals, Glasgow",,201131,191364,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC029274,Knoydart Forest Trust,05/03/1999 00:00,,Active,,PH41 4PL,Company (the charity is registered with Companies House),,"Wider, but within one local authority area",Highland,'The advancement of environmental protection or improvement',"'No specific group, or for the benefit of the community'",'It carries out activities or services itself',"To conserve, regenerate and promote the restoration of native and other woodlands In the geographical region of Knoydart as an important part of Scotland's natural environment for the benefit of the public.","KFT Office, Inverie, Knoydart, Inverness-Shire",,221839,218011,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC029281,Pakistan Society Advice & Information Services Ltd,04/08/1999 00:00,,Not Submitted,,EH14 5JG,Company (the charity is registered with Companies House),,"Wider, but within one local authority area",City of Edinburgh,"'The prevention or relief of poverty','The advancement of education','The advancement of health','The advancement of citizenship or community development','The advancement of the arts, heritage, culture or science','The advancement of public participation in sport','The advancement of human rights, conflict resolution or reconciliation','The advancement of environmental protection or improvement','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'","'Children / young people','Older people','People with disabilities or health problems','People of a particular ethnic or racial origin','Other defined groups','No specific group, or for the benefit of the community','Other charities / voluntary bodies'",'It carries out activities or services itself',"To promote the elimination of discrimination on grounds whether for reasons of colour, race, ethnicity, nationality, gender, disability, religion, marital status, social dass, age or sexual orientation.","78 Nether Currie Crescent, Currie, Edinburgh",,31765,31823,2019,31/05/2019,,,,,,,,,,,,No,Standard,Invalid or no website
SC029373,Gavinburn Out Of School Care,28/01/1999 00:00,,Active,,G60 5NE,Unincorporated association,,"A specific local point, community or neighbourhood",West Dunbartonshire,"'The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'",'Children / young people','It carries out activities or services itself',"The advancement of the education and social welfare of children who attend Gavinburn Primary and its environs by the development of day care and recreational facilities for children in need of care during out of school hours and school holidays, especially those children from families where both parents or lone parents are in full-time employment, in further/higher education or in training, during Out of School hours and school holidays.   The AssocIation shall be Non-Party Political, Non-Sectarian and Non-Racist.","Gavinburn Primary School, Dumbarton Road, Old Kilpatrick, Clydebank",,43926,60896,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC029457,Friends Of Oban Hospice,04/10/1999 00:00,,Active,,PA34 5AJ,Other,,"A specific local point, community or neighbourhood",Argyll & Bute,"'The advancement of health','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'",'People with disabilities or health problems','It carries out activities or services itself',"To promote the welfare of the patients and former patients of Oban Hospice by supporting the Hospice in providing high quality palliative, clinical, emotional and spiritual care for those who suffer illness or injury without regard to age, race, creed or sex.","13b Corran Brae, Oban, Argyll",,34729,34693,2020,28/02/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC029458,Teddy Bear Development Playgroup,08/10/1999 00:00,Buckie Teddy Bear Development Playgroup,Active,,AB56 4SE,Unincorporated association,,"A specific local point, community or neighbourhood",Moray,'The advancement of education','Children / young people','It carries out activities or services itself',"To promote the care and education of pre-school age children with special needs and to provide or assist in the provision of facilities, in the interest of social; welfare, for recreation and other leisure-time occupation so that the conditions of life of the aforementioned children and their parents/carers can be improved.","Grangelea, 7 Seafield Lane, Cullen, Buckie, Banffshire",,30080,25233,2020,31/05/2020,,,,,,,,,,,,No,Standard,Invalid or no website
